,0,1,2,3,4,5,6,7,8,9
0,1,Paris SG,37,17,11,4,2,29,14,+15
1,2,AS Monaco,32,17,9,5,3,25,15,+10
2,3,Olympique Lyonnais,27,17,8,3,6,23,25,-2
3,4,Olympique de Marseille,25,17,6,7,4,21,18,+3
4,5,Lille OSC,25,17,6,7,4,16,14,+2
5,6,Toulouse FC,25,17,7,4,6,22,23,-1
6,7,AS Saint-Etienne,22,17,6,4,7,15,17,-2
7,8,Reims,21,17,5,6,6,17,23,-6
8,9,FC Nantes Atlantique  ,19,17,5,4,8,18,23,-5
9,10,Montpellier Herault SC,18,17,3,9,5,23,28,-5
10,11,Stade Rennais,17,17,4,5,8,18,20,-2
11,12,Girondins de Bordeaux,15,16,2,9,5,15,20,-5
12,13,Lorient,14,17,4,2,11,17,27,-10
13,14,Evian Thonon Gaillard,14,17,3,5,9,11,26,-15
14,15,En Avant Guingamp,13,17,3,4,10,12,24,-12
15,16,Valenciennes,12,17,3,3,11,13,30,-17
16,17,OGC Nice,10,17,2,4,11,8,24,-16
17,18,Bastia SC,9,17,1,6,10,15,34,-19
18,19,Ajaccio AC,8,17,1,5,11,13,35,-22
19,20,Sochaux-Montbélliard,7,18,1,4,13,15,42,-27
